"","temperature","X","environment (biome)","environment (feature)","environment (material)","environmental package","depth","salinity","Y","instrument model","collection date","project name","geographic location (depth)","sequencing method","NCBI sample classification","ENA checklist","event date/time","marine region","protocol label","sampling campaign","sampling platform","event label","last update date","sample collection device","sampling station","size fraction lower threshold","size fraction upper threshold","nitrate sensor","oxygen sensor","accession","sample-name","sample-desc","biome"
"ERS1972436","-1.2163","-149.5091","marine biome","marine water body","seawater","water","19.0","26.3739","76.5011","Illumina MiSeq",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ERS1972436","KD108.12012_170322","Station 54 seawater, depth 19.7m","root:Environmental:Aquatic:Marine:Oceanic"
"ERS1972336","0.1392","-174.21085","marine biome","marine water body","seawater","water","745.0","34.877","83.71425","Illumina MiSeq",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ERS1972336","26-9_170427","Station 26 seawater, depth 745m","root:Environmental:Aquatic:Marine:Oceanic"
"ERS1972406",NA,"-149.97226","marine biome","marine water body","sea ice","water","0.5","999.0","85.16033","Illumina MiSeq",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ERS1972406","KD060A_170322","Station 43 sea ice, depth 0.5m","root:Environmental:Aquatic:Marine:Oceanic"
"ERS1972445","0.6785","-158.7448","marine biome","marine water body","seawater","water","336.0","34.8129","72.9997","Illumina MiSeq",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ERS1972445","KD126_170407","Station 60 seawater, depth 336.2m","root:Environmental:Aquatic:Marine:Oceanic"
"ERS1972349","-0.1749","-178.92683","marine biome","marine water body","seawater","water","1002.0","34.8908","87.5856","Illumina MiSeq",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ERS1972349","30-14_170506","Station 30 seawater, depth 1002m","root:Environmental:Aquatic:Marine:Oceanic"
"ERS1972397",NA,"-150.0","marine biome","marine water body","sea ice","water","0.3","999.0","85.0","Illumina MiSeq",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ERS1972397","KD042_170407","Station 42 sea ice, depth 0.3m","root:Environmental:Aquatic:Marine:Oceanic"
"ERS1972324","-1.2877","-174.8173","marine biome","marine water body","seawater","water","73.0","32.2278","83.75495","Illumina MiSeq",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ERS1972324","26-3_170427","Station 26 seawater, depth 73m","root:Environmental:Aquatic:Marine:Oceanic"
"ERS1972417",NA,"-149.7905","marine biome","marine water body","sea ice","water","0.5","999.0","82.50385","Illumina MiSeq",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ERS1972417","KD089_170407","Station 46 sea ice, depth 0.5m","root:Environmental:Aquatic:Marine:Oceanic"
"ERS1972314","-0.3652","-174.21085","marine biome","marine water body","seawater","water","2523.0","34.9554","83.71425","Illumina MiSeq",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ERS1972314","26-13_170427","Station 26 seawater, depth 2523m","root:Environmental:Aquatic:Marine:Oceanic"
"ERS1972442","-0.8518","-158.7448","marine biome","marine water body","seawater","water","36.0","30.081","72.9997","Illumina MiSeq",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ERS1972442","KD125_170322","Station 60 seawater, depth 36.6m","root:Environmental:Aquatic:Marine:Oceanic"
