"","temperature","X","environment (biome)","environment (feature)","environment (material)","environmental package","depth","salinity","Y","instrument model","collection date","project name","geographic location (depth)","sequencing method","NCBI sample classification","ENA checklist","event date/time","marine region","protocol label","sampling campaign","sampling platform","event label","last update date","sample collection device","sampling station","size fraction lower threshold","size fraction upper threshold","nitrate sensor","oxygen sensor","accession","sample-name","sample-desc","biome"
"ERS1972402",NA,"-149.97226","marine biome","marine water body","sea ice","water","1.5","999.0","85.16033","Illumina MiSeq",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ERS1972402","KD057_170322","Station 43 sea ice, depth 1.5m","root:Environmental:Aquatic:Marine:Oceanic"
"ERS1972326","-1.4216","-174.8173","marine biome","marine water body","seawater","water","100.0","33.5114","83.75495","Illumina MiSeq",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ERS1972326","26-4_170427","Station 26 seawater, depth 100m","root:Environmental:Aquatic:Marine:Oceanic"
"ERS1972341","0.7857","-178.92683","marine biome","marine water body","seawater","water","261.0","34.8079","87.5856","Illumina MiSeq",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ERS1972341","30-10_170506","Station 30 seawater, depth 261m","root:Environmental:Aquatic:Marine:Oceanic"
"ERS1972408",NA,"-149.7905","marine biome","marine water body","melt pond","water","0.0","999.0","82.50385","Illumina MiSeq",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ERS1972408","KD083_170322","Station 46 melt pond, depth 0m","root:Environmental:Aquatic:Marine:Oceanic"
"ERS1972318","-0.345","-174.21085","marine biome","marine water body","seawater","water","2831.0","34.9567","83.71425","Illumina MiSeq",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ERS1972318","26-15_170427","Station 26 seawater, depth 2831m","root:Environmental:Aquatic:Marine:Oceanic"
"ERS1972369","-0.0303","-179.99976","marine biome","marine water body","seawater","water","178.0","34.5354","87.53011","Illumina MiSeq",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ERS1972369","30-7_170506","Station 30 seawater, depth 178m","root:Environmental:Aquatic:Marine:Oceanic"
"ERS1972421",NA,"-149.7905","marine biome","marine water body","sea ice","water","0.1","999.0","82.50385","Illumina MiSeq","2015-09-20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ERS1972421","KD091_170407","Station 46 sea ice, depth 0.1m","root:Environmental:Aquatic:Marine:Oceanic"
"ERS1972354","-0.3856","-178.92683","marine biome","marine water body","seawater","water","2389.0","34.9583","87.5856","Illumina MiSeq",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ERS1972354","30-17_170427","Station 30 seawater, depth 2389m","root:Environmental:Aquatic:Marine:Oceanic"
"ERS1972320","-0.345","-174.21085","marine biome","marine water body","seawater","water","2901.0","34.9567","83.71425","Illumina MiSeq",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ERS1972320","26-16_170427","Station 26 seawater, depth 2901m","root:Environmental:Aquatic:Marine:Oceanic"
"ERS1972316","-0.351","-174.21085","marine biome","marine water body","seawater","water","2752.0","34.9562","83.71425","Illumina MiSeq",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ERS1972316","26-14_170427","Station 26 seawater, depth 2752m","root:Environmental:Aquatic:Marine:Oceanic"
"ERS1972416",NA,"-149.7905","marine biome","marine water body","sea ice","water","0.5","999.0","82.50385","Illumina MiSeq",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ERS1972416","KD089_170322","Station 46 sea ice, depth 0.5m","root:Environmental:Aquatic:Marine:Oceanic"
"ERS1972446",NA,"-162.5408","marine biome","marine water body","seawater","water","1.0","999.0","72.02705","Illumina MiSeq",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ERS1972446","KD134_170322","Station 66 seawater, depth 1m","root:Environmental:Aquatic:Marine:Oceanic"
"ERS1972330","0.0776","-174.8173","marine biome","marine water body","seawater","water","210.0","34.6026","83.75495","Illumina MiSeq",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ERS1972330","26-6_170427","Station 26 seawater, depth 210m","root:Environmental:Aquatic:Marine:Oceanic"
"ERS1972405",NA,"-149.97226","marine biome","marine water body","sea ice","water","1.3","999.0","85.16033","Illumina MiSeq",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ERS1972405","KD058_170407","Station 43 sea ice, depth 1.3m","root:Environmental:Aquatic:Marine:Oceanic"
"ERS1972386",NA,"-89.2525","marine biome","marine water body","sea ice","water","0.7","999.0","89.99033","Illumina MiSeq",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ERS1972386","KD016_170322","Station 33 sea ice, depth 0.7m","root:Environmental:Aquatic:Marine:Oceanic"
"ERS1972338","-1.4005","-179.99976","marine biome","marine water body","seawater","water","24.0","28.655","87.53011","Illumina MiSeq",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ERS1972338","30-1_170427","Station 30 seawater, depth 24m","root:Environmental:Aquatic:Marine:Oceanic"
"ERS1972334","0.6525","-174.8173","marine biome","marine water body","seawater","water","524.0","34.8674","83.75495","Illumina MiSeq",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ERS1972334","26-8_170427","Station 26 seawater, depth 524m","root:Environmental:Aquatic:Marine:Oceanic"
"ERS1972309","-0.2958","-174.21085","marine biome","marine water body","seawater","water","1242.0","34.9052","83.71425","Illumina MiSeq",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ERS1972309","26-10_170506","Station 26 seawater, depth 1242m","root:Environmental:Aquatic:Marine:Oceanic"
"ERS1972365","-1.4653","-179.99976","marine biome","marine water body","seawater","water","102.0","33.8665","87.53011","Illumina MiSeq",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ERS1972365","30-5_170506","Station 30 seawater, depth 102m","root:Environmental:Aquatic:Marine:Oceanic"
"ERS1972346","0.0097","-178.92683","marine biome","marine water body","seawater","water","802.0","34.8778","87.5856","Illumina MiSeq",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ERS1972346","30-13_170427","Station 30 seawater, depth 802m","root:Environmental:Aquatic:Marine:Oceanic"
"ERS1972381",NA,"-176.76143","marine biome","marine water body","sea ice","water","1.5","999.0","88.4072","Illumina MiSeq",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ERS1972381","KD011_170407","Station 31 sea ice, depth 1.5m","root:Environmental:Aquatic:Marine:Oceanic"
"ERS1972313","-0.3881","-174.21085","marine biome","marine water body","seawater","water","2235.0","34.9523","83.71425","Illumina MiSeq",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ERS1972313","26-12_170506","Station 26 seawater, depth 2235m","root:Environmental:Aquatic:Marine:Oceanic"
"ERS1972414",NA,"-149.7905","marine biome","marine water body","sea ice","water","0.7","999.0","82.50385","Illumina MiSeq",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ERS1972414","KD088_170322","Station 46 sea ice, depth 0.7m","root:Environmental:Aquatic:Marine:Oceanic"
"ERS1972379",NA,"-176.76143","marine biome","marine water body","sea ice","water","0.1","999.0","88.4072","Illumina MiSeq",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ERS1972379","KD009_170407","Station 31 sea ice, depth 0.1m","root:Environmental:Aquatic:Marine:Oceanic"
"ERS1972427","-0.5762","-148.8366","marine biome","marine water body","seawater","water","20.0","28.1046","77.0066","Illumina MiSeq",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ERS1972427","KD103_170407","Station 53 seawater, depth 20.3m","root:Environmental:Aquatic:Marine:Oceanic"
"ERS1972357","-0.2619","-178.92683","marine biome","marine water body","seawater","water","3902.0","34.9598","87.5856","Illumina MiSeq",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ERS1972357","30-18_170506","Station 30 seawater, depth 3902m","root:Environmental:Aquatic:Marine:Oceanic"
"ERS1972443","-0.8518","-158.7448","marine biome","marine water body","seawater","water","36.0","30.081","72.9997","Illumina MiSeq",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ERS1972443","KD125_170407","Station 60 seawater, depth 36.6m","root:Environmental:Aquatic:Marine:Oceanic"
"ERS1972375","0.7776","-173.095","marine biome","marine water body","seawater","water","1.0","999.0","76.5357","Illumina MiSeq",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ERS1972375","KD001_170407","Station 14 seawater, depth 1m","root:Environmental:Aquatic:Marine:Oceanic"
"ERS1972393",NA,"-148.89433","marine biome","marine water body","seawater","water","1.0","999.0","87.77202","Illumina MiSeq",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ERS1972393","KD025_170407","Station 39 seawater, depth 1m","root:Environmental:Aquatic:Marine:Oceanic"
"ERS1972437","-1.2163","-149.5091","marine biome","marine water body","seawater","water","19.0","26.3739","76.5011","Illumina MiSeq",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ERS1972437","KD108.12012_170407","Station 54 seawater, depth 19.7m","root:Environmental:Aquatic:Marine:Oceanic"
"ERS1972319","-0.345","-174.21085","marine biome","marine water body","seawater","water","2831.0","34.9567","83.71425","Illumina MiSeq",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ERS1972319","26-15_170506","Station 26 seawater, depth 2831m","root:Environmental:Aquatic:Marine:Oceanic"
"ERS1972440","-1.3887","-158.7448","marine biome","marine water body","seawater","water","110.0","32.4233","72.9997","Illumina MiSeq",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ERS1972440","KD116_170322","Station 60 seawater, depth 110.9m","root:Environmental:Aquatic:Marine:Oceanic"
"ERS1972404",NA,"-149.97226","marine biome","marine water body","sea ice","water","1.3","999.0","85.16033","Illumina MiSeq",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ERS1972404","KD058_170322","Station 43 sea ice, depth 1.3m","root:Environmental:Aquatic:Marine:Oceanic"
"ERS1972366","-1.0629","-179.99976","marine biome","marine water body","seawater","water","127.0","34.2478","87.53011","Illumina MiSeq",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ERS1972366","30-6_170427","Station 30 seawater, depth 127m","root:Environmental:Aquatic:Marine:Oceanic"
"ERS1972345","0.5809","-178.92683","marine biome","marine water body","seawater","water","501.0","34.8688","87.5856","Illumina MiSeq",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ERS1972345","30-12_170506","Station 30 seawater, depth 501m","root:Environmental:Aquatic:Marine:Oceanic"
"ERS1972380",NA,"-176.76143","marine biome","marine water body","sea ice","water","1.5","999.0","88.4072","Illumina MiSeq",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ERS1972380","KD011_170322","Station 31 sea ice, depth 1.5m","root:Environmental:Aquatic:Marine:Oceanic"
"ERS1972333","0.9835","-174.8173","marine biome","marine water body","seawater","water","367.0","34.8515","83.75495","Illumina MiSeq",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ERS1972333","26-7_170506","Station 26 seawater, depth 367m","root:Environmental:Aquatic:Marine:Oceanic"
"ERS1972432","-1.2598","-149.5091","marine biome","marine water body","seawater","water","1.0","32.7823","76.5011","Illumina MiSeq",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ERS1972432","KD107_170322","Station 54 seawater, depth 1m","root:Environmental:Aquatic:Marine:Oceanic"
"ERS1972361","-1.3712","-179.99976","marine biome","marine water body","seawater","water","57.0","31.7561","87.53011","Illumina MiSeq",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ERS1972361","30-3_170506","Station 30 seawater, depth 57m","root:Environmental:Aquatic:Marine:Oceanic"
"ERS1972340","0.7857","-178.92683","marine biome","marine water body","seawater","water","261.0","34.8079","87.5856","Illumina MiSeq",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ERS1972340","30-10_170427","Station 30 seawater, depth 261m","root:Environmental:Aquatic:Marine:Oceanic"
"ERS1972332","0.9835","-174.8173","marine biome","marine water body","seawater","water","367.0","34.8515","83.75495","Illumina MiSeq",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ERS1972332","26-7_170427","Station 26 seawater, depth 367m","root:Environmental:Aquatic:Marine:Oceanic"
"ERS1972429","-0.1424","-148.8366","marine biome","marine water body","seawater","water","65.0","31.2036","77.0066","Illumina MiSeq",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ERS1972429","KD104_170407","Station 53 seawater, depth 65.4m","root:Environmental:Aquatic:Marine:Oceanic"
"ERS1972310","-0.4038","-174.21085","marine biome","marine water body","seawater","water","1803.0","34.9419","83.71425","Illumina MiSeq",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ERS1972310","26-11_170427","Station 26 seawater, depth 1803m","root:Environmental:Aquatic:Marine:Oceanic"
"ERS1972311","-0.4038","-174.21085","marine biome","marine water body","seawater","water","1803.0","34.9419","83.71425","Illumina MiSeq",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ERS1972311","26-11_170506","Station 26 seawater, depth 1803m","root:Environmental:Aquatic:Marine:Oceanic"
"ERS1972399",NA,"-149.97226","marine biome","marine water body","sea ice","water","0.1","999.0","85.16033","Illumina MiSeq",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ERS1972399","KD055_170407","Station 43 sea ice, depth 0.1m","root:Environmental:Aquatic:Marine:Oceanic"
"ERS1972433","-1.2598","-149.5091","marine biome","marine water body","seawater","water","1.0","32.7823","76.5011","Illumina MiSeq",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ERS1972433","KD107_170407","Station 54 seawater, depth 1m","root:Environmental:Aquatic:Marine:Oceanic"
"ERS1972391",NA,"-89.2525","marine biome","marine water body","sea ice","water","0.1","999.0","89.99033","Illumina MiSeq",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ERS1972391","KD021_170407","Station 33 sea ice, depth 0.1m","root:Environmental:Aquatic:Marine:Oceanic"
"ERS1972392",NA,"-148.89433","marine biome","marine water body","seawater","water","1.0","999.0","87.77202","Illumina MiSeq",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ERS1972392","KD025_170322","Station 39 seawater, depth 1m","root:Environmental:Aquatic:Marine:Oceanic"
"ERS1972409",NA,"-149.7905","marine biome","marine water body","melt pond","water","0.0","999.0","82.50385","Illumina MiSeq",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ERS1972409","KD083_170407","Station 46 melt pond, depth 0m","root:Environmental:Aquatic:Marine:Oceanic"
"ERS1972331","0.0776","-174.8173","marine biome","marine water body","seawater","water","210.0","34.6026","83.75495","Illumina MiSeq",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ERS1972331","26-6_170506","Station 26 seawater, depth 210m","root:Environmental:Aquatic:Marine:Oceanic"
"ERS1972351","-0.3457","-178.92683","marine biome","marine water body","seawater","water","1403.0","34.922","87.5856","Illumina MiSeq",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ERS1972351","30-15_170506","Station 30 seawater, depth 1403m","root:Environmental:Aquatic:Marine:Oceanic"
"ERS1972355","-0.3856","-178.92683","marine biome","marine water body","seawater","water","2389.0","34.9583","87.5856","Illumina MiSeq",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ERS1972355","30-17_170506","Station 30 seawater, depth 2389m","root:Environmental:Aquatic:Marine:Oceanic"
"ERS1972372","0.6628","-178.92683","marine biome","marine water body","seawater","water","229.0","34.771","87.5856","Illumina MiSeq",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ERS1972372","30-9_170427","Station 30 seawater, depth 229m","root:Environmental:Aquatic:Marine:Oceanic"
"ERS1972317","-0.351","-174.21085","marine biome","marine water body","seawater","water","2752.0","34.9562","83.71425","Illumina MiSeq",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ERS1972317","26-14_170506","Station 26 seawater, depth 2752m","root:Environmental:Aquatic:Marine:Oceanic"
"ERS1972350","-0.3457","-178.92683","marine biome","marine water body","seawater","water","1403.0","34.922","87.5856","Illumina MiSeq",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ERS1972350","30-15_170427","Station 30 seawater, depth 1403m","root:Environmental:Aquatic:Marine:Oceanic"
"ERS1972425","0.5837","-147.8711","marine biome","marine water body","seawater","water","1.0","35.2157","77.4476","Illumina MiSeq",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ERS1972425","KD101_170407","Station 52 seawater, depth 1m","root:Environmental:Aquatic:Marine:Oceanic"
"ERS1972418",NA,"-149.7905","marine biome","marine water body","sea ice","water","0.3","999.0","82.50385","Illumina MiSeq",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ERS1972418","KD090_170322","Station 46 sea ice, depth 0.3m","root:Environmental:Aquatic:Marine:Oceanic"
"ERS1972434","-0.2635","-149.5091","marine biome","marine water body","seawater","water","60.0","30.5861","76.5011","Illumina MiSeq",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ERS1972434","KD108.12005_170322","Station 54 seawater, depth 60.7m","root:Environmental:Aquatic:Marine:Oceanic"
"ERS1972359","-1.2913","-179.99976","marine biome","marine water body","seawater","water","41.0","29.4104","87.53011","Illumina MiSeq",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ERS1972359","30-2_170506","Station 30 seawater, depth 41m","root:Environmental:Aquatic:Marine:Oceanic"
"ERS1972370","0.6628","-179.99976","marine biome","marine water body","seawater","water","226.0","34.771","87.53011","Illumina MiSeq",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ERS1972370","30-8_170427","Station 30 seawater, depth 226m","root:Environmental:Aquatic:Marine:Oceanic"
"ERS1972371","0.6628","-179.99976","marine biome","marine water body","seawater","water","226.0","34.771","87.53011","Illumina MiSeq",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ERS1972371","30-8_170506","Station 30 seawater, depth 226m","root:Environmental:Aquatic:Marine:Oceanic"
"ERS1972368","-0.0303","-179.99976","marine biome","marine water body","seawater","water","178.0","34.5354","87.53011","Illumina MiSeq",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ERS1972368","30-7_170427","Station 30 seawater, depth 178m","root:Environmental:Aquatic:Marine:Oceanic"
"ERS1972342","0.8959","-178.92683","marine biome","marine water body","seawater","water","376.0","34.8671","87.5856","Illumina MiSeq",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ERS1972342","30-11_170427","Station 30 seawater, depth 376m","root:Environmental:Aquatic:Marine:Oceanic"
"ERS1972352","-0.4048","-178.92683","marine biome","marine water body","seawater","water","1905.0","34.9492","87.5856","Illumina MiSeq",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ERS1972352","30-16_170427","Station 30 seawater, depth 1905m","root:Environmental:Aquatic:Marine:Oceanic"
"ERS1972339","-1.4005","-179.99976","marine biome","marine water body","seawater","water","24.0","28.655","87.53011","Illumina MiSeq",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ERS1972339","30-1_170506","Station 30 seawater, depth 24m","root:Environmental:Aquatic:Marine:Oceanic"
"ERS1972377",NA,"-176.76143","marine biome","marine water body","sea ice","water","0.5","999.0","88.4072","Illumina MiSeq",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ERS1972377","KD007_170407","Station 31 sea ice, depth 0.5m","root:Environmental:Aquatic:Marine:Oceanic"
"ERS1972431","-0.6026","-148.8366","marine biome","marine water body","seawater","water","40.0","29.2444","77.0066","Illumina MiSeq",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ERS1972431","KD105_170407","Station 53 seawater, depth 40.7m","root:Environmental:Aquatic:Marine:Oceanic"
"ERS1972328","-1.3292","-174.8173","marine biome","marine water body","seawater","water","147.0","34.1901","83.75495","Illumina MiSeq",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ERS1972328","26-5_170427","Station 26 seawater, depth 147m","root:Environmental:Aquatic:Marine:Oceanic"
"ERS1972367","-1.0629","-179.99976","marine biome","marine water body","seawater","water","127.0","34.2478","87.53011","Illumina MiSeq",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ERS1972367","30-6_170506","Station 30 seawater, depth 127m","root:Environmental:Aquatic:Marine:Oceanic"
"ERS1972435","-0.2635","-149.5091","marine biome","marine water body","seawater","water","60.0","30.5861","76.5011","Illumina MiSeq",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ERS1972435","KD108.12005_170407","Station 54 seawater, depth 60.7m","root:Environmental:Aquatic:Marine:Oceanic"
"ERS1972389",NA,"-89.2525","marine biome","marine water body","sea ice","water","0.9","999.0","89.99033","Illumina MiSeq",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ERS1972389","KD020_170407","Station 33 sea ice, depth 0.9m","root:Environmental:Aquatic:Marine:Oceanic"
"ERS1972358","-1.2913","-179.99976","marine biome","marine water body","seawater","water","41.0","29.4104","87.53011","Illumina MiSeq",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ERS1972358","30-2_170427","Station 30 seawater, depth 41m","root:Environmental:Aquatic:Marine:Oceanic"
